scenario,seed,lev,strategy,bull_realized,signal_realized,avg_ret_pct,median_ret_pct,neg_coins,avg_sharpe,avg_mdd_pct,total_liqs,avg_trades
bull_40pct,0,1.0,hybrid,0.38,0.3683,1122.27,-80.29,9,-0.031,69.02,0,14.0
bull_40pct,0,1.0,short_only,0.38,0.3683,-81.38,-84.44,13,-0.92,85.38,0,10.0
bull_40pct,0,5.0,hybrid,0.38,0.3683,13727672.24,-100.0,11,-0.645,95.49,11,9.2
bull_40pct,0,5.0,short_only,0.38,0.3683,-100.0,-100.0,13,-0.912,100.0,13,3.8
bull_40pct,1,1.0,hybrid,0.4058,0.3726,640.42,-84.26,11,-0.128,74.81,0,14.0
bull_40pct,1,1.0,short_only,0.4058,0.3726,-84.75,-88.24,13,-1.011,88.29,0,8.7
bull_40pct,1,5.0,hybrid,0.4058,0.3726,64752259.04,-100.0,12,-4.044,97.48,12,7.2
bull_40pct,1,5.0,short_only,0.4058,0.3726,-100.0,-100.0,13,-4.273,100.0,13,2.4
bull_40pct,2,1.0,hybrid,0.3578,0.3216,535.97,-77.08,9,-0.1,65.8,0,12.3
bull_40pct,2,1.0,short_only,0.3578,0.3216,-76.35,-80.97,13,-0.905,79.78,0,9.2
bull_40pct,2,5.0,hybrid,0.3578,0.3216,1176783.75,-100.0,12,-4.582,98.71,12,11.6
bull_40pct,2,5.0,short_only,0.3578,0.3216,-100.0,-100.0,13,-8.047,100.0,13,1.4
bull_40pct,3,1.0,hybrid,0.3298,0.2953,803.46,-41.34,9,-0.132,48.77,0,11.3
bull_40pct,3,1.0,short_only,0.3298,0.2953,-56.59,-58.0,13,-0.831,63.0,0,9.2
bull_40pct,3,5.0,hybrid,0.3298,0.2953,-100.0,-100.0,13,-0.285,100.0,13,8.2
bull_40pct,3,5.0,short_only,0.3298,0.2953,-100.0,-100.0,13,-0.454,100.0,13,3.5
bull_40pct,4,1.0,hybrid,0.2872,0.2468,79.06,-41.43,10,-0.353,43.22,0,11.1
bull_40pct,4,1.0,short_only,0.2872,0.2468,-38.64,-43.02,12,-0.758,52.73,0,8.8
bull_40pct,4,5.0,hybrid,0.2872,0.2468,-100.0,-100.0,13,-0.457,100.0,13,5.8
bull_40pct,4,5.0,short_only,0.2872,0.2468,-100.0,-100.0,13,-0.608,100.0,13,5.3
bull_40pct,5,1.0,hybrid,0.5003,0.4684,526.24,-96.14,11,-0.326,87.62,0,13.3
bull_40pct,5,1.0,short_only,0.5003,0.4684,-96.94,-97.08,13,-1.229,97.35,0,9.5
bull_40pct,5,5.0,hybrid,0.5003,0.4684,-100.0,-100.0,13,-0.784,100.0,13,2.2
bull_40pct,5,5.0,short_only,0.5003,0.4684,-100.0,-100.0,13,-0.836,100.0,13,2.3
bull_40pct,6,1.0,hybrid,0.5652,0.5502,1969.62,-97.9,11,0.121,86.44,0,16.8
bull_40pct,6,1.0,short_only,0.5652,0.5502,-98.61,-99.07,13,-1.189,98.67,0,10.3
bull_40pct,6,5.0,hybrid,0.5652,0.5502,164140642.86,-100.0,12,-2.717,98.54,12,13.1
bull_40pct,6,5.0,short_only,0.5652,0.5502,-100.0,-100.0,13,-3.782,100.0,13,2.0
bull_40pct,7,1.0,hybrid,0.4171,0.3755,467.66,-89.54,11,-0.151,78.44,0,14.4
bull_40pct,7,1.0,short_only,0.4171,0.3755,-90.1,-90.48,13,-1.1,90.77,0,11.2
bull_40pct,7,5.0,hybrid,0.4171,0.3755,-100.0,-100.0,13,-2.419,100.0,13,9.3
bull_40pct,7,5.0,short_only,0.4171,0.3755,-100.0,-100.0,13,-3.826,100.0,13,1.8
bull_40pct,8,1.0,hybrid,0.1236,0.1017,997.35,546.25,0,1.309,6.08,0,8.4
bull_40pct,8,1.0,short_only,0.1236,0.1017,759.3,546.25,0,1.215,6.59,0,6.9
bull_40pct,8,5.0,hybrid,0.1236,0.1017,3410.09,2705.78,3,1.088,23.08,3,5.2
bull_40pct,8,5.0,short_only,0.1236,0.1017,2824.96,2412.23,4,0.984,30.77,4,4.1
bull_40pct,9,1.0,hybrid,0.3018,0.2795,127.12,-33.76,10,-0.183,40.24,0,12.7
bull_40pct,9,1.0,short_only,0.3018,0.2795,-50.18,-52.47,13,-1.0,53.65,0,9.6
bull_40pct,9,5.0,hybrid,0.3018,0.2795,454.5,-100.0,12,-1.894,93.49,12,4.7
bull_40pct,9,5.0,short_only,0.3018,0.2795,-100.0,-100.0,13,-2.099,100.0,13,4.2
bull_40pct,10,1.0,hybrid,0.1895,0.1639,475.33,144.42,0,1.218,5.78,0,8.2
bull_40pct,10,1.0,short_only,0.1895,0.1639,188.74,136.47,0,1.062,12.72,0,6.8
bull_40pct,10,5.0,hybrid,0.1895,0.1639,86.88,-100.0,11,-4.473,84.62,11,5.6
bull_40pct,10,5.0,short_only,0.1895,0.1639,86.88,-100.0,11,-4.526,84.62,11,4.3
bull_40pct,11,1.0,hybrid,0.5058,0.4599,534.78,-95.16,11,-0.128,83.49,0,16.1
bull_40pct,11,1.0,short_only,0.5058,0.4599,-95.76,-96.04,13,-1.278,96.26,0,10.8
bull_40pct,11,5.0,hybrid,0.5058,0.4599,-100.0,-100.0,13,-5.034,100.0,13,7.3
bull_40pct,11,5.0,short_only,0.5058,0.4599,-100.0,-100.0,13,-7.216,100.0,13,1.4
bull_40pct,12,1.0,hybrid,0.2256,0.1958,388.89,146.46,1,1.274,5.26,0,9.7
bull_40pct,12,1.0,short_only,0.2256,0.1958,83.72,65.98,1,0.827,13.68,0,7.1
bull_40pct,12,5.0,hybrid,0.2256,0.1958,108.39,-100.0,12,-4.566,92.31,12,2.8
bull_40pct,12,5.0,short_only,0.2256,0.1958,-100.0,-100.0,13,-6.753,100.0,13,1.9
bull_40pct,13,1.0,hybrid,0.0917,0.0712,1463.8,1093.65,0,1.293,3.11,0,6.6
bull_40pct,13,1.0,short_only,0.0917,0.0712,1151.58,1027.4,0,1.202,6.15,0,6.4
bull_40pct,13,5.0,hybrid,0.0917,0.0712,1510686.71,-100.0,9,-2.216,75.55,9,5.6
bull_40pct,13,5.0,short_only,0.0917,0.0712,1134.62,-100.0,10,-2.377,76.92,10,3.7
bull_40pct,14,1.0,hybrid,0.2529,0.22,461.64,13.71,3,0.869,11.71,0,10.7
bull_40pct,14,1.0,short_only,0.2529,0.22,10.59,5.34,5,0.41,24.86,0,8.8
bull_40pct,14,5.0,hybrid,0.2529,0.22,656111.03,26.72,5,0.846,44.4,5,8.8
