status,asset,market_id,best_expression,side,contract_question,entry_time,target_exit_time,exit_time,entry_price,exit_price,pnl_pct,entry_pm_yes_price,exit_pm_yes_price,entry_edge_score,entry_edge_pts_per_dte,entry_edge_pts_per_dte_7d_change,exit_edge_score,model_version,iv_resolution,entry_flags,note
open,GOLD,2001190,buy_yes,yes,"Will Gold (GC) hit (LOW) $4,600 by end of June?",2026-04-24T14:00:00Z,2026-05-01T14:00:00Z,,0.74000000,,,0.73000000,,8.69861867,0.12954815,,,relative_value_heatmap_v1_legacy_2x,valuations_fallback,pm_quote_from_snapshot,No archive at or after target exit yet.
closed,GOLD,1032290,sell_yes_or_buy_no,no,"Will Gold (GC) settle over $5,000 on the final trading day of June 2026?",2026-04-24T14:00:00Z,2026-05-01T14:00:00Z,2026-05-01T14:00:00Z,0.65000000,0.53000000,-18.4615,0.41500000,0.35000000,-8.24878779,-0.12284884,,-0.72077571,relative_value_heatmap_v1_legacy_2x,valuations_fallback,wide_pm_spread;pm_quote_from_snapshot,
closed,GOLD,1032287,sell_yes_or_buy_no,no,"Will Gold (GC) settle over $5,600 on the final trading day of June 2026?",2026-04-24T14:00:00Z,2026-05-01T14:00:00Z,2026-05-01T14:00:00Z,0.88000000,0.82000000,-6.8182,0.18000000,0.12500000,-8.08455037,-0.12040286,,-2.30634933,relative_value_heatmap_v1_legacy_2x,valuations_fallback,wide_pm_spread;pm_quote_from_snapshot,
closed,GOLD,1032259,buy_yes,yes,"Will Gold (GC) settle at $4,600-$5,000 in June?",2026-04-24T14:00:00Z,2026-05-01T14:00:00Z,2026-05-01T14:00:00Z,0.24000000,0.26000000,8.3333,0.23500000,0.27500000,7.89947846,0.11764659,,3.61641545,relative_value_heatmap_v1_legacy_2x,valuations_fallback,pm_quote_from_snapshot,
closed,GOLD,1032286,sell_yes_or_buy_no,no,"Will Gold (GC) settle over $5,800 on the final trading day of June 2026?",2026-04-24T14:00:00Z,2026-05-01T14:00:00Z,2026-05-01T14:00:00Z,0.90600000,0.86600000,-4.4150,0.12900000,0.08650000,-7.67272285,-0.11426953,,-0.84935717,relative_value_heatmap_v1_legacy_2x,valuations_fallback,wide_pm_spread;pm_quote_from_snapshot,
closed,GOLD,1032289,sell_yes_or_buy_no,no,"Will Gold (GC) settle over $5,200 on the final trading day of June 2026?",2026-04-24T14:00:00Z,2026-05-01T14:00:00Z,2026-05-01T14:00:00Z,0.77000000,0.66000000,-14.2857,0.29500000,0.26000000,-7.49385533,-0.11160566,,-5.18490275,relative_value_heatmap_v1_legacy_2x,valuations_fallback,wide_pm_spread;pm_quote_from_snapshot,
closed,GOLD,1032257,buy_yes,yes,"Will Gold (GC) settle at $4,200-$4,600 in June?",2026-04-24T14:00:00Z,2026-05-01T14:00:00Z,2026-05-01T14:00:00Z,0.21100000,0.24100000,14.2180,0.20950000,0.26350000,7.40661147,0.11030635,,2.13162424,relative_value_heatmap_v1_legacy_2x,valuations_fallback,pm_quote_from_snapshot,
closed,GOLD,1032291,sell_yes_or_buy_no,no,"Will Gold (GC) settle over $4,800 on the final trading day of June 2026?",2026-04-24T14:00:00Z,2026-05-01T14:00:00Z,2026-05-01T14:00:00Z,0.51000000,0.45000000,-11.7647,0.57000000,0.48000000,-7.30235033,-0.10875359,,-4.30087243,relative_value_heatmap_v1_legacy_2x,valuations_fallback,wide_pm_spread;pm_quote_from_snapshot,
open,GOLD,2001191,buy_yes,yes,"Will Gold (GC) hit (LOW) $4,700 by end of June?",2026-04-24T14:00:00Z,2026-05-01T14:00:00Z,,0.92000000,,,0.91500000,,7.00000000,0.10425070,,,relative_value_heatmap_v1_legacy_2x,valuations_fallback,pm_quote_from_snapshot,No archive at or after target exit yet.
closed,GOLD,2001189,buy_yes,yes,"Will Gold (GC) hit (LOW) $4,500 by end of June?",2026-04-24T14:00:00Z,2026-05-01T14:00:00Z,2026-05-01T14:00:00Z,0.61000000,0.65000000,6.5574,0.60500000,0.66000000,5.01516500,0.07469064,,6.32029954,relative_value_heatmap_v1_legacy_2x,valuations_fallback,pm_quote_from_snapshot,
closed,GOLD,1272712,sell_yes_or_buy_no,no,"Will Gold (GC) hit (HIGH) $5,700 by end of June?",2026-04-24T14:00:00Z,2026-05-01T14:00:00Z,2026-05-04T23:00:00Z,0.90000000,0.95800000,6.4444,0.10500000,0.03850000,-4.74576101,-0.07067841,,-2.29187336,relative_value_heatmap_v1_legacy_2x,valuations_fallback,cheap_vs_underlying_cap_bearish;pm_quote_from_snapshot,
closed,GOLD,2001179,buy_yes,yes,"Will Gold (GC) hit (LOW) $4,400 by end of June?",2026-04-24T14:00:00Z,2026-05-01T14:00:00Z,2026-05-01T14:00:00Z,0.46000000,0.46000000,0.0000,0.45500000,0.46500000,4.55332949,0.06781254,,10.68900692,relative_value_heatmap_v1_legacy_2x,valuations_fallback,pm_quote_from_snapshot,
closed,GOLD,1032262,sell_yes_or_buy_no,no,"Will Gold (GC) settle at $5,800-$6,200 in June?",2026-04-24T14:00:00Z,2026-05-01T14:00:00Z,2026-05-01T14:00:00Z,0.94000000,0.96100000,2.2340,0.06250000,0.03750000,-4.54065521,-0.06762378,,-0.83049595,relative_value_heatmap_v1_legacy_2x,valuations_fallback,pm_quote_from_snapshot,
closed,GOLD,1032270,sell_yes_or_buy_no,no,"Will Gold (GC) hit (HIGH) $6,200 by end of June?",2026-04-24T14:00:00Z,2026-05-01T14:00:00Z,2026-05-01T15:00:00Z,0.95000000,0.96400000,1.4737,0.05500000,0.03350000,-4.46413529,-0.06648417,,-0.28420760,relative_value_heatmap_v1_legacy_2x,valuations_fallback,cheap_vs_underlying_cap_bearish;pm_quote_from_snapshot,
open,GOLD,1032279,sell_yes_or_buy_no,no,"Will Gold (GC) hit (LOW) $3,800 by end of June?",2026-04-24T14:00:00Z,2026-05-01T14:00:00Z,,0.92500000,,,0.07900000,,-4.27116981,-0.06361035,,,relative_value_heatmap_v1_legacy_2x,valuations_fallback,pm_quote_from_snapshot,No archive at or after target exit yet.
