status,asset,market_id,best_expression,side,contract_question,entry_time,target_exit_time,exit_time,entry_price,exit_price,pnl_pct,entry_pm_yes_price,exit_pm_yes_price,entry_edge_score,entry_edge_pts_per_dte,entry_edge_pts_per_dte_7d_change,exit_edge_score,model_version,iv_resolution,entry_flags,note
closed,GOLD,1032290,sell_yes_or_buy_no,no,"Will Gold (GC) settle over $5,000 on the final trading day of June 2026?",2026-04-24T14:00:00Z,2026-05-08T14:00:00Z,2026-05-12T15:00:00Z,0.65000000,0.61000000,-6.1538,0.41500000,0.33500000,-8.24878779,-0.12284884,,-6.76737756,relative_value_heatmap_v2_one_touch,valuations_fallback,wide_pm_spread;pm_quote_from_snapshot,
closed,GOLD,1032287,sell_yes_or_buy_no,no,"Will Gold (GC) settle over $5,600 on the final trading day of June 2026?",2026-04-24T14:00:00Z,2026-05-08T14:00:00Z,2026-05-12T15:00:00Z,0.88000000,0.86000000,-2.2727,0.18000000,0.10500000,-8.08455037,-0.12040286,,-2.98276310,relative_value_heatmap_v2_one_touch,valuations_fallback,wide_pm_spread;pm_quote_from_snapshot,
closed,GOLD,2001214,buy_yes,yes,"Will Gold (GC) hit (HIGH) $4,900 by end of June?",2026-04-24T14:00:00Z,2026-05-08T14:00:00Z,2026-05-12T15:00:00Z,0.67000000,0.54000000,-19.4030,0.66500000,0.55500000,8.07132370,0.12020588,,5.19311718,relative_value_heatmap_v2_one_touch,valuations_fallback,pm_quote_from_snapshot,
closed,GOLD,1032259,buy_yes,yes,"Will Gold (GC) settle at $4,600-$5,000 in June?",2026-04-24T14:00:00Z,2026-05-08T14:00:00Z,2026-05-12T15:00:00Z,0.24000000,0.32000000,33.3333,0.23500000,0.32500000,7.89947846,0.11764659,,2.02755975,relative_value_heatmap_v2_one_touch,valuations_fallback,pm_quote_from_snapshot,
closed,GOLD,1032286,sell_yes_or_buy_no,no,"Will Gold (GC) settle over $5,800 on the final trading day of June 2026?",2026-04-24T14:00:00Z,2026-05-08T14:00:00Z,2026-05-12T15:00:00Z,0.90600000,0.89000000,-1.7660,0.12900000,0.07500000,-7.67272285,-0.11426953,,-1.47178822,relative_value_heatmap_v2_one_touch,valuations_fallback,wide_pm_spread;pm_quote_from_snapshot,
closed,GOLD,1032289,sell_yes_or_buy_no,no,"Will Gold (GC) settle over $5,200 on the final trading day of June 2026?",2026-04-24T14:00:00Z,2026-05-08T14:00:00Z,2026-05-12T15:00:00Z,0.77000000,0.67000000,-12.9870,0.29500000,0.25500000,-7.49385533,-0.11160566,,-6.19067348,relative_value_heatmap_v2_one_touch,valuations_fallback,wide_pm_spread;pm_quote_from_snapshot,
closed,GOLD,1032257,buy_yes,yes,"Will Gold (GC) settle at $4,200-$4,600 in June?",2026-04-24T14:00:00Z,2026-05-08T14:00:00Z,2026-05-12T15:00:00Z,0.21100000,0.24100000,14.2180,0.20950000,0.25850000,7.40661147,0.11030635,,4.18192769,relative_value_heatmap_v2_one_touch,valuations_fallback,pm_quote_from_snapshot,
closed,GOLD,1032291,sell_yes_or_buy_no,no,"Will Gold (GC) settle over $4,800 on the final trading day of June 2026?",2026-04-24T14:00:00Z,2026-05-08T14:00:00Z,2026-05-12T15:00:00Z,0.51000000,0.44000000,-13.7255,0.57000000,0.51000000,-7.30235033,-0.10875359,,-9.72439681,relative_value_heatmap_v2_one_touch,valuations_fallback,wide_pm_spread;pm_quote_from_snapshot,
open,GOLD,1032279,sell_yes_or_buy_no,no,"Will Gold (GC) hit (LOW) $3,800 by end of June?",2026-04-24T14:00:00Z,2026-05-08T14:00:00Z,,0.92500000,,,0.07900000,,-4.99229912,-0.07435010,,,relative_value_heatmap_v2_one_touch,valuations_fallback,pm_quote_from_snapshot,No archive at or after target exit yet.
open,GOLD,1032262,sell_yes_or_buy_no,no,"Will Gold (GC) settle at $5,800-$6,200 in June?",2026-04-24T14:00:00Z,2026-05-08T14:00:00Z,,0.94000000,,,0.06250000,,-4.54065521,-0.06762378,,,relative_value_heatmap_v2_one_touch,valuations_fallback,pm_quote_from_snapshot,No archive at or after target exit yet.
