id,opened_at,closed_at,asset,venue,direction,instrument_type,instrument_id,instrument_label,entry_price,exit_price,size,leverage,pnl,pnl_pct,market_pnl,funding_pnl,signal_type,hypothesis_id,thesis,close_reason,archived_at,archive_reason
T-1777361233876-molk,2026-04-28T07:27:13.876Z,2026-04-28T20:27:37.814Z,OIL,spot,short,spot,,OIL spot,84.17,99.63,1,1,-0.1837,-18.37,-0.1837,0.0000,PC_RATIO_EXTREME_LOW,,OIL P/C ratio 0.08 — heavy call buying → contrarian short.,stop|DATA_CORRECTION_ARTIFACT,2026-05-27T17:15:48.621765+00:00,close_reason contains DATA_CORRECTION_ARTIFACT
T-1777384445778-vsg8,2026-04-28T13:54:05.778Z,2026-04-28T20:27:37.814Z,OIL,spot,long,spot,,OIL spot,84.89,99.63,1,1,0.1736,17.36,0.1736,0.0000,PM_EV_ABOVE_SPOT,,OIL PM EV ($113) is 33.1% above spot ($85). Market expects upside.,target|DATA_CORRECTION_ARTIFACT,2026-05-27T17:15:48.621765+00:00,close_reason contains DATA_CORRECTION_ARTIFACT
T-1777384445778-mdfs,2026-04-28T13:54:05.778Z,2026-05-05T16:24:22Z,GOLD,spot,long,spot,,GOLD spot,4587.0,4580.0,1.0,1,-0.0015,-0.15,-0.0015,0.0000,PM_EV_ABOVE_SPOT,,GOLD PM EV ($15176) is 230.8% above spot ($4587). Market expects upside. [NON_LEARNING_CLOSE: contaminated gold_pm_settle_ev settlement-bucket EV is not valid directional PM_EV input.],DATA_CORRECTION_ARTIFACT,2026-05-27T17:15:48.621765+00:00,close_reason contains DATA_CORRECTION_ARTIFACT
T-1777088911855-pxgl,2026-04-25T03:48:31.855Z,2026-05-05T16:28:23.980Z,AMZN,hyperliquid,long,hl_perp,AMZN,HL AMZN perp,263.08,274.64,1,1,0.0437,4.37,0.0439,-0.0002,FUNDING_EXTREME_SHORT,,AMZN HL funding -39.2% annualized — crowded shorts. Buy.,target,2026-05-27T17:15:48.621765+00:00,duplicate_of:T-1777088911855-pxgl (kept_row_closed_at=2026-05-04T14:38:04.529Z)
T-1777361233876-zr83,2026-04-28T07:27:13.876Z,2026-05-05T16:28:23.980Z,HYPE,hyperliquid,long,hl_perp,HYPE,HL HYPE perp,40.334,44.132,1,1,0.0940,9.40,0.0942,-0.0001,LLM_HYPOTHESIS,,[LLM] HYPE institutional distribution exhaustion completion - 17% OI decline from 957M to 790M peak with funding normalization creates highest-probability oversold bounce opportunity,target,2026-05-27T17:15:48.621765+00:00,duplicate_of:T-1777361233876-zr83 (kept_row_closed_at=2026-05-03T20:54:53.153716Z)
T-1777373709855-c0q3,2026-04-28T10:55:09.855Z,2026-05-05T16:28:23.980Z,GOLD,spot,short,spot,,GOLD spot,4610,4560,1,1,0.0108,1.08,0.0108,0.0000,PC_RATIO_EXTREME_LOW,,GOLD P/C ratio 0.20 — heavy call buying → contrarian short.,expiry,2026-05-27T17:15:48.621765+00:00,duplicate_of:T-1777373709855-c0q3 (kept_row_closed_at=2026-05-03T10:55:31.316Z)
T-1777400871771-xctf,2026-04-28T18:27:51.771Z,2026-05-05T16:28:23.980Z,BTC,spot,short,spot,,BTC spot,76201,81382,1,1,-0.0680,-6.80,-0.0680,0.0000,MACRO_MOMENTUM_DOWN,,Macro composite fell -8.0 pts over 24h (50.0→42.0). Risk-off momentum → short BTC.,stop,2026-05-27T17:15:48.621765+00:00,duplicate_of:T-1777400871771-xctf (kept_row_closed_at=2026-05-01T13:53:41.505Z)
T-1777544891052-ganl,2026-04-30T10:28:11.052Z,2026-05-05T16:28:23.980Z,OIL,spot,short,spot,,OIL spot,106.64,102.04,1,1,0.0431,4.31,0.0431,0.0000,PC_RATIO_EXTREME_LOW,,OIL P/C ratio 0.00 — heavy call buying → contrarian short.,target,2026-05-27T17:15:48.621765+00:00,duplicate_of:T-1777544891052-ganl (kept_row_closed_at=2026-05-01T12:14:20.581Z)
T-1777584512726-vnm2,2026-04-30T21:28:32.726Z,2026-05-05T16:28:23.980Z,OIL,spot,long,spot,,OIL spot,105.16,102.04,1,1,-0.0297,-2.97,-0.0297,0.0000,PC_RATIO_EXTREME_HIGH,,OIL P/C ratio 1.61 — heavy put buying → contrarian long.,stop,2026-05-27T17:15:48.621765+00:00,duplicate_of:T-1777584512726-vnm2 (kept_row_closed_at=2026-05-01T12:16:23.631Z)
T-1778707778058-9nsi,2026-05-13T21:29:38.058Z,2026-05-14T00:34:27.327Z,GOLD,hyperliquid,short,hl_perp,GOLD,HL GOLD perp,4691,4702,1,1,-0.0023,-0.23,-0.0023,0.0000,FUNDING_EXTREME_LONG,,"GOLD HL funding 44.1% annualized — crowded longs. Fade. | [LLM close] The FUNDING_EXTREME_LONG short thesis was predicated on crowded longs with 63.68% annualized funding. Gold HL funding has collapsed from 63.68% to 6.76% — an 89% decline — which is the primary signal-family evidence metric for this trade. The crowded-long condition that justified the short has been fully resolved. Meanwhile gold spot has moved against the position (+0.21% from entry). With the thesis signal now normalized and price moving adversely, the position should be closed before it reaches the 2.5% stop.",llm_decision,2026-05-27T17:15:48.621765+00:00,operationally_tainted:hourly LLM close had authority over rule-owned funding trade
