section,group,trades,wins,losses,win_rate_pct,pnl,avg_pnl,avg_pnl_pct,id,status,asset,notes,unrealized_pnl_pct,realized_pnl,unrealized_pnl,entry_price,current_price,instrument_type,instrument_id,instrument_label,opened_at,entry_one_touch_model_recomputed,current_one_touch_model,current_bid,current_ask,strike_price,expiry_month,entry_model_source,entry_row_timestamp,entry_row_distance_hours,current_model_source,current_row_timestamp,current_row_age_hours
summary,generated_at,,,,,,,,,,,2026-06-08T18:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
summary,deduped_counted_ledger,2,1,1,50.0,0.100000,0.050000,2.0000,,,,"canonical=true; source=trades-detailed.csv; dedupe=earliest_closed_at_per_trade_id; excludes=operationally_tainted,DATA_CORRECTION_ARTIFACT,NON_LEARNING_CLOSE; raw_rows=2; duplicate_trade_ids=1",,,,,,,,,,,,,,,,,,,,,
summary,portfolio_audit,2,1,1,50.0,0.100000,,,,,,corrected_counted_total=true; raw_portfolio_total=0.100000; source=portfolio.json; cash=10.000000; last_updated=2026-06-08T17:00:00.000Z,,0.100000,,,,,,,,,,,,,,,,,,,
summary,raw_detailed_trade_ledger_audit,3,2,1,66.7,0.200000,0.066667,2.6667,,,,reference_only=true; source=trades-detailed.csv; duplicate_trade_ids=1,,,,,,,,,,,,,,,,,,,,,
summary,resolved_shadow_rollup,1,1,0,100.0,0.250000,0.250000,25.0000,,,,source=blocked-signals.json; resolved_shadows=1,,,,,,,,,,,,,,,,,,,,,
summary,open_positions,1,,,,,,,,,,Current live/open positions from portfolio.json; realized_pnl uses corrected counted ledger,,0.100000,,,,,,,,,,,,,,,,,,,
summary,duplicate_trade_ids,1,,,,,,,,,,dup-1,,,,,,,,,,,,,,,,,,,,,
summary,operationally_tainted_trade_ids,1,,,,,,,,,,tainted-1: manual data correction,,,,,,,,,,,,,,,,,,,,,
trade_setup_type,LLM_HYPOTHESIS,1,1,0,100.0,0.100000,0.100000,4.0000,,,,,,,,,,,,,,,,,,,,,,,,,
llm_hypothesis_trade_breakout,LLM_HYPOTHESIS / Breakout | test / BTC / polymarket / long / hyp-1,1,1,0,100.0,0.100000,0.100000,4.0000,hyp-1,,BTC,"market=Will Bitcoin hit $100,000 in June?; [LLM] Golden fixture trade",,,,,,,,,,,,,,,,,,,,,
asset,BTC,2,1,1,50.0,0.100000,0.050000,2.0000,,,,,,,,,,,,,,,,,,,,,,,,,
trade_type_asset,LLM_HYPOTHESIS / BTC,2,1,1,50.0,0.100000,0.050000,2.0000,,,,,,,,,,,,,,,,,,,,,,,,,
venue_asset,polymarket / BTC,2,1,1,50.0,0.100000,0.050000,2.0000,,,,,,,,,,,,,,,,,,,,,,,,,
shadow_trade_type,risk_gate / NO_BIAS_ADJUSTED_GAP_SHADOW,1,1,0,100.0,0.250000,0.250000,25.0000,,,,,,,,,,,,,,,,,,,,,,,,,
shadow_type_asset,risk_gate / NO_BIAS_ADJUSTED_GAP_SHADOW / BTC,1,1,0,100.0,0.250000,0.250000,25.0000,,,,,,,,,,,,,,,,,,,,,,,,,
llm_setup_family_tests,Breakout | test,1,1,0,100.0,0.000000,0.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,
currently_tested_llm_hypothesis,Breakout | test,1,1,0,100.0,0.000000,0.000000,0.0000,hyp-1,active,,pending_tests=1; Watch breakout continuation,,,,,,,,,,,,,,,,,,,,,
currently_open_shadow_trade,risk_gate / NO_BIAS_ADJUSTED_GAP_SHADOW,,,,,,,,shadow-open-1,open,BTC,"polymarket long; opened 2026-06-01T12:30:00.000Z; market=Will Bitcoin hit $100,000 in June?; instrument_type=pm_yes; instrument_id=btc-hit-jun-2026::123; entry=0.4; current=0.5; entry_model=0.410000; current_model=0.550000; current_bid=0.4400; current_ask=0.4600; strike=$100,000; expiry=June; entry_row_source=snapshot; entry_row_ts=2026-06-01T12:30:00.000Z; entry_row_distance_hours=0.00; current_row_source=current; current_row_ts=2026-06-08T17:00:00.000Z; current_row_age_hours=1.00; Shadow thesis | escaped",25.0000,,0.500000,0.4,0.5,pm_yes,btc-hit-jun-2026::123,"Will Bitcoin hit $100,000 in June?",2026-06-01T12:30:00.000Z,0.410000,0.550000,0.4400,0.4600,"$100,000",June,snapshot,2026-06-01T12:30:00.000Z,0.00,current,2026-06-08T17:00:00.000Z,1.00
open_position,LLM_HYPOTHESIS / Breakout | test,1,,,,,,,pos-btc-1,open,BTC,"polymarket long; market=Will Bitcoin hit $100,000 in June?; instrument_type=pm_yes; instrument_id=btc-hit-jun-2026::123; entry=0.4; current=0.5; entry_model=0.420000; current_model=0.550000; current_bid=0.4400; current_ask=0.4600; strike=$100,000; expiry=June; entry_row_source=history_exact; entry_row_ts=2026-06-01T12:30:00.000Z; entry_row_distance_hours=0.00; current_row_source=current; current_row_ts=2026-06-08T17:00:00.000Z; current_row_age_hours=1.00; Golden fixture thesis",25.0000,0.100000,0.500000,0.4,0.5,pm_yes,btc-hit-jun-2026::123,"Will Bitcoin hit $100,000 in June?",2026-06-01T12:30:00.000Z,0.420000,0.550000,0.4400,0.4600,"$100,000",June,history_exact,2026-06-01T12:30:00.000Z,0.00,current,2026-06-08T17:00:00.000Z,1.00
summary,hyperliquid_hybrid_bot,2,1,1,50.0,0.150000,,,,,,source=hyperliquid-hybrid-trades.jsonl; state_mtime=2026-06-08T17:59:00.000Z; feed_mtime=2026-06-08T17:58:00.000Z; opens=2; closes=2; fees_usd=0.010000; open_positions=1; note=shadow trades from the separate Hyperliquid hybrid perp bot; LLM trader does not own these positions; size_usd is scaled shadow size (default $1),,0.150000,,,,,,2026-06-08T17:30:00.000Z,,,,,,,,,,,,,
hyperliquid_hybrid_shadow_asset,ETH,2,1,1,50.0,0.150000,0.075000,1.5000,,,ETH,opens=2; closes=2; fees_usd=0.010000; last_event=2026-06-08T17:30:00.000Z,,0.150000,,,,,,2026-06-08T17:30:00.000Z,,,,,,,,,,,,,
currently_open_shadow_trade,hyperliquid_hybrid_shadow / HL_HYBRID_LONG / ETH,,,,,,,,HL-HYBRID-ETH,open,ETH,hyperliquid perp long shadow; opened 2026-06-08T17:00:00.000Z; mode=long; instrument_type=hl_perp; instrument_id=ETH; entry=2500; current=2600; shadow_size_usd=1; source=hyperliquid-hybrid-state.json; note=Hyperliquid hybrid bot shadow — LLM trader does not own this position,4.0000,,0.040000,2500,2600,hl_perp,ETH,ETH perp,2026-06-08T17:00:00.000Z,,,,,,,,,,,,
